same last node
n steps   csar time  gsar_time  n csar states  n gsar states
      5    0.195448   0.293550              2              2
      6    0.143276   0.267087              3              3
      7    0.152104   0.367565              3              3
      8    0.158624   0.302753              3              3
      9    0.200373   0.399592              2              2
      10   0.172923   1.102461              4              4
      11   0.265825   0.349625              2              2
      12   0.142103   0.346134              3              3
      13   0.249773   0.769912              3              3
      14   0.207425   0.507474              2              2
      15   0.221905   2.153575              5              5
      16   0.161996   0.432036              3              3
      17   0.186859   2.080483              4              4
      18   0.203522   0.958102              4              4
      19   0.293774   1.352555              4              4
      20   0.262374   1.096962              3              3
      21   0.382725   2.619806              4              4
      22   0.324495   1.946826              3              3
      23   0.218362   1.822667              4              4
      24   0.255316   1.122431              3              3
      25   0.184493   0.933486              4              4
      26   0.288142   1.009178              2              2
      27   0.434668   2.028761              3              3
      28   0.216751   1.600598              3              3
      29   0.351250   2.407702              4              4
      30   0.428142   2.166589              4              4
      31   0.227694   0.774955              3              3
      32   0.445196   6.050076              4              4
      33   0.616671   4.198828              3              3
      34   0.418490   1.620766              3              3
      35   0.319246  11.230027              5              5
      36   0.258184   3.199708              4              4
      37   0.257930   0.932795              3              3
      38   0.396622   3.572762              4              4
      39   0.275502   1.967339              3              3
      40   0.264238   3.267118              4              4
