side and sub traces module
    n steps  csar time  gsar_time  n csar states  n gsar states
         20   0.291928   1.384852              3              3
         21   0.166497   0.904953              4              4
         22   0.281918   2.157738              3              3
         23   0.218018   1.684134              4              4
         24   0.161617   0.560543              3              3
         25   0.171362   0.630483              3              3
         27   0.291729   1.437575              3              3
         30   0.221731  10.037285              5              5
         32   0.417310   6.564533              3              3
         33   0.264735   1.784835              4              4
         34   0.273874  25.231487              6              6
         37   0.198676   0.926239              3              3
         38   0.389093  11.262957              3              3
         40   0.619136   5.293867              3              3
         41   0.226404   0.999914              2              2
         42   0.454160   5.873368              4              4
         43   0.219550   2.001078              3              3
         44   0.172275   0.846916              3              3
         46   0.314621   1.191582              3              3
         47   0.586771  10.051791              4              4
         48   0.350212   1.262711              3              3
         50   0.303409  16.833888              5              5
